book_id,book_title,library_final,collection,req_no,part,old_page_count,pan_dir_id_status,bucket,webp_status,webp_prefix,source_url,source_root,source_relative_path,author
fuji-RB00001121,医弊説 1巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/409,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001121/,,fujikawa,fujikawa/fuji-RB00001121,徳川斉昭著
fuji-RB00001122,医弁 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/259,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001122/,,fujikawa,fujikawa/fuji-RB00001122,永田徳本著
fuji-RB00001144,医方集解 3巻(下巻之下欠) 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/279,,5,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001144/,,fujikawa,fujikawa/fuji-RB00001144,(清)汪昂(訒菴)輯
fuji-RB00001147,医方小乗 5巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/280,,3,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001147/,,fujikawa,fujikawa/fuji-RB00001147,和田純(蕉窓)著
fuji-RB00001150,医方小児論 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/283,,5,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001150/,,fujikawa,fujikawa/fuji-RB00001150,
fuji-RB00001154,医方選粋 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/286,,5,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001154/,,fujikawa,fujikawa/fuji-RB00001154,杉本良著
fuji-RB00001157,(南北経験)医方大成論 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/289,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001157/,,fujikawa,fujikawa/fuji-RB00001157,(元)孫允賢著
fuji-RB00001158,医方大成論 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/290,,3,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001158/,,fujikawa,fujikawa/fuji-RB00001158,(元)孫允賢著
fuji-RB00001171,医方湯頭歌括 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/295,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001171/,,fujikawa,fujikawa/fuji-RB00001171,(清)汪昂(訒菴)編
fuji-RB00001175,医方略記 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/307,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001175/,,fujikawa,fujikawa/fuji-RB00001175,
fuji-RB00001181,医門闚観 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/312,,5,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001181/,,fujikawa,fujikawa/fuji-RB00001181,関口本貞(子道)著
fuji-RB00001182,医門闚観 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/313,,3,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001182/,,fujikawa,fujikawa/fuji-RB00001182,関口本貞(子道)著
fuji-RB00001195,医略抄 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/324,,5,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001195/,,fujikawa,fujikawa/fuji-RB00001195,丹波雅忠著・多紀元簡(檪窓、桂山)校
fuji-RB00001196,医略抄 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/325,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001196/,,fujikawa,fujikawa/fuji-RB00001196,丹波雅忠著・多紀元簡(檪窓、桂山)校
fuji-RB00001198,医略抄 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/327,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001198/,,fujikawa,fujikawa/fuji-RB00001198,丹波雅忠著・多紀元簡(檪窓、桂山)校
fuji-RB00001213,医療手引草 4巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/339,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001213/,,fujikawa,fujikawa/fuji-RB00001213,加藤謙斎(忠宝)著
fuji-RB00001219,(和漢)医林新誌 20巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/345,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001219/,,fujikawa,fujikawa/fuji-RB00001219,杏雨社編
fuji-RB00001221,医林蒙求 3巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,イ/347,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001221/,,fujikawa,fujikawa/fuji-RB00001221,樋口器著
fuji-RB00001252,歌傷寒雑病論俗弁 4巻首1巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,ウ/5,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001252/,,fujikawa,fujikawa/fuji-RB00001252,平野元亮著
fuji-RB00001258,産家やしなひ草 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,ウ/10,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001258/,,fujikawa,fujikawa/fuji-RB00001258,佐々井玄敬著
fuji-RB00001265,運気流行図 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,ウ/16,,5,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001265/,,fujikawa,fujikawa/fuji-RB00001265,
fuji-RB00001268,雲上伝朝日丸秘書 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,ウ/20,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001268/,,fujikawa,fujikawa/fuji-RB00001268,橘荘仙医院直伝
fuji-RB00001348,汪氏痘疹大成 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,オ/65,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001348/,,fujikawa,fujikawa/fuji-RB00001348,(明)汪若源撰
fuji-RB00001432,瘟疫診舌 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,オ/33,,5,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001432/,,fujikawa,fujikawa/fuji-RB00001432,
fuji-RB00001444,温疫論発揮 2巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,オ/44,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00001444/,,fujikawa,fujikawa/fuji-RB00001444,(明)呉又可著・小畑行簡(良卓)訂正
